2023-11-18 03:09:35,113 INFO    StreamThr :1341168 [internal.py:wandb_internal():86] W&B internal server running at pid: 1341168, started at: 2023-11-18 03:09:35.112985
2023-11-18 03:09:35,115 DEBUG   HandlerThread:1341168 [handler.py:handle_request():146] handle_request: status
2023-11-18 03:09:35,118 INFO    WriterThread:1341168 [datastore.py:open_for_write():85] open: /home/danielflaherty/llama-recipes/wandb/run-20231118_030935-hwbkftk1/run-hwbkftk1.wandb
2023-11-18 03:09:35,118 DEBUG   SenderThread:1341168 [sender.py:send():380] send: header
2023-11-18 03:09:35,120 DEBUG   SenderThread:1341168 [sender.py:send():380] send: run
2023-11-18 03:09:35,544 ERROR   SenderThread:1341168 [internal_api.py:execute():370] 500 response executing GraphQL.
2023-11-18 03:09:35,544 ERROR   SenderThread:1341168 [internal_api.py:execute():371] {"errors":[{"message":"An internal error occurred. Please contact support.","path":["upsertBucket"]}],"data":{"upsertBucket":null}}
2023-11-18 03:09:36,897 INFO    SenderThread:1341168 [dir_watcher.py:__init__():211] watching files in: /home/danielflaherty/llama-recipes/wandb/run-20231118_030935-hwbkftk1/files
2023-11-18 03:09:36,897 INFO    SenderThread:1341168 [sender.py:_start_run_threads():1124] run started: hwbkftk1 with start time 1700276975.112754
2023-11-18 03:09:36,905 DEBUG   HandlerThread:1341168 [handler.py:handle_request():146] handle_request: check_version
2023-11-18 03:09:36,906 DEBUG   SenderThread:1341168 [sender.py:send_request():407] send_request: check_version
2023-11-18 03:09:36,961 DEBUG   HandlerThread:1341168 [handler.py:handle_request():146] handle_request: run_start
2023-11-18 03:09:36,980 DEBUG   HandlerThread:1341168 [system_info.py:__init__():32] System info init
2023-11-18 03:09:36,980 DEBUG   HandlerThread:1341168 [system_info.py:__init__():47] System info init done
2023-11-18 03:09:36,980 INFO    HandlerThread:1341168 [system_monitor.py:start():194] Starting system monitor
2023-11-18 03:09:36,981 INFO    SystemMonitor:1341168 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-11-18 03:09:36,981 INFO    HandlerThread:1341168 [system_monitor.py:probe():214] Collecting system info
2023-11-18 03:09:36,982 INFO    SystemMonitor:1341168 [interfaces.py:start():190] Started cpu monitoring
2023-11-18 03:09:36,982 INFO    SystemMonitor:1341168 [interfaces.py:start():190] Started disk monitoring
2023-11-18 03:09:36,983 INFO    SystemMonitor:1341168 [interfaces.py:start():190] Started gpu monitoring
2023-11-18 03:09:36,984 INFO    SystemMonitor:1341168 [interfaces.py:start():190] Started memory monitoring
2023-11-18 03:09:36,985 INFO    SystemMonitor:1341168 [interfaces.py:start():190] Started network monitoring
2023-11-18 03:09:37,042 DEBUG   HandlerThread:1341168 [system_info.py:probe():196] Probing system
2023-11-18 03:09:37,045 DEBUG   HandlerThread:1341168 [system_info.py:_probe_git():181] Probing git
2023-11-18 03:09:37,050 DEBUG   HandlerThread:1341168 [system_info.py:_probe_git():189] Probing git done
2023-11-18 03:09:37,050 DEBUG   HandlerThread:1341168 [system_info.py:probe():244] Probing system done
